AccountZAnnualRevenue,AccountZBillingCountry,AccountZBillingState,AccountZIndustry,AccountZIsPersonAccount,AccountZName,AccountZType,AccountId,ActualVisitEndTime,ActualVisitStartTime,ApplicationZAccountZIndustry,ApplicationZAccountZIsPersonAccount,ApplicationZAccountZName,ApplicationZAccountZType,ApplicationZAccountId,ApplicationZAmountPaid,ApplicationZApplicationCaseId,ApplicationZApplicationCategory,ApplicationZApplicationSourceFlag,ApplicationZApplicationType,ApplicationZAppliedDate,ApplicationZBusinessLicenseZBusinessTypeZName,ApplicationZBusinessLicenseZBusinessTypeId,ApplicationZBusinessLicenseZIdentifier,ApplicationZBusinessLicenseZIssuer,ApplicationZBusinessLicenseZName,ApplicationZBusinessLicenseZPeriodEnd,ApplicationZBusinessLicenseZPeriodStart,ApplicationZBusinessLicenseZRegAuthTypeZName,ApplicationZBusinessLicenseZRegAuthTypeZRegulatoryAuthorityZName,ApplicationZBusinessLicenseZRegulatoryAuthorizationTypeId,ApplicationZBusinessLicenseZStatus,ApplicationZBusinessTypeZAuthorizationActivityType,ApplicationZBusinessTypeZIndustry,ApplicationZBusinessTypeZName,ApplicationZBusinessTypeId,ApplicationZCaseZReason,ApplicationZCaseZStatus,ApplicationZCaseZType,ApplicationZCategory,ApplicationZCreatedDate,ApplicationZId,ApplicationZLicensePermitNameId,ApplicationZLicenseTypeId,ApplicationZName,ApplicationZRegAuthTypeZDurationType,ApplicationZRegAuthTypeZIssuingDepartmentId,ApplicationZRegAuthTypeZName,ApplicationZRegAuthTypeZProcessingDuration,ApplicationZRegAuthTypeZRegulatoryAuthCategory,ApplicationZRegAuthTypeZRegulatoryAuthCode,ApplicationZRegAuthTypeZRegulatoryAuthorityZName,ApplicationZStatus,ApplicationZWasReturned,CaseZAccountZIndustry,CaseZAccountZIsPersonAccount,CaseZAccountZName,CaseZAccountZType,CaseZAccountId,CaseZCreatedDate,CaseZId,CaseZReason,CaseZStatus,CaseZSuppliedName,CaseZType,ContextId,CreatedDate,Id,InspectionContextSource,InspectionTypeZCreatedDate,InspectionTypeZName,Name,PlannedVisitEndTime,PlannedVisitStartTime,PublicComplaintZAccountZIndustry,PublicComplaintZAccountZIsPersonAccount,PublicComplaintZAccountZName,PublicComplaintZAccountZType,PublicComplaintZAccountId,PublicComplaintZBusinessName,PublicComplaintZComplaintSubType,PublicComplaintZComplaintType,PublicComplaintZCreatedDate,PublicComplaintZFirstName,PublicComplaintZId,PublicComplaintZIncidentDate,PublicComplaintZLastName,PublicComplaintZName,PublicComplaintZPriority,PublicComplaintZStatus,Status,UserZDepartment,UserZManagerId,UserZName,UserZUniqueUserName,UserZUserRoleId,UserZUsername,UserId,VisitPriority,VisitTypeId,VisitorZCountry,VisitorZDepartment,VisitorZFullPhotoUrl,VisitorZId,VisitorZManagerId,VisitorZName,VisitorZSmallPhotoUrl,VisitorZState,VisitorZUniqueUserName,VisitorZUserRoleId,VisitorZUserType,VisitorZUsername,VisitorId
,,,,,,,,,,,,,,001Hr00001s8sy2IAA,,500Hr00001aqHxnIAE,Basic,Business License Application,New,2021-01-27T13:44:00.000Z,,,,,Fashion Cuts & Perms | Salon Establishment License | 2023-01-27,,2023-01-27T21:51:59.000Z,Salon Establishment License,Board of Barbering & Cosmetology,0ehHr000000CdF6IAK,Verified,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,New,Establishment License,License,2023-11-07T15:01:48.000Z,0f0Hr000000XZtmIAG,0cEHr000000L4s5MAC,0ehHr000000CdF6IAK,BLA-0000000022,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,License Issued,false,,,,,,,,,,,,0f0Hr000000XZtmIAG,2023-11-07T15:01:48.000Z,0Z5Hr000000TW71KAG,Business License Application,2023-11-07T15:01:48.000Z,Salon Establishment Inspection,00000113,,2022-12-14T17:00:00.000Z,,,,,,,,,,,,,,,,,Planned,,,Jeremy Blankenship,Jeremy Blankenship,00EHr000002oHdyMAE,jeremy.blankenship.9mtj1kp1wpal@salesforce.com,005Hr00000FZuBdIAL,,0fJHr000000L1WvMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/005/F,005Hr00000FZuBdIAL,,Jeremy Blankenship,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/005/T,,Jeremy Blankenship,00EHr000002oHdyMAE,Standard,jeremy.blankenship.9mtj1kp1wpal@salesforce.com,005Hr00000FZuBdIAL
,,,,,,,001Hr00001s8sz8IAA,2022-02-01T16:14:19.000Z,2021-04-20T14:56:58.000Z,,,,,001Hr00001s8sz8IAA,,500Hr00001aqHyeIAE,Basic,Business License Application,New,2021-02-01T16:01:00.000Z,,,,,,,,,,,,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,New,Establishment License,License,2023-11-07T15:01:48.000Z,0f0Hr000000XZtoIAG,,0ehHr000000CdF6IAK,BLA-0000000029,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Completed,false,,,,,,,,,,,,0f0Hr000000XZtoIAG,2023-11-07T15:01:48.000Z,0Z5Hr000000TW6kKAG,Business License Application,2023-11-07T15:01:48.000Z,Salon Establishment Inspection,00000043,,2024-02-01T20:00:00.000Z,,,,,,,,,,,,,,,,,Completed,,005Hr00000FZuCoIAL,Alan Lands,Alan Lands,00EHr000002oHdyMAE,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB,,0fJHr000000L1WvMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/F,005Hr00000FakdjIAB,005Hr00000FZuCoIAL,Alan Lands,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/T,,Alan Lands,00EHr000002oHdyMAE,Standard,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB
,,,,,,,001Hr00001s8sz8IAA,,,,,,,001Hr00001s8sz8IAA,,500Hr00001aqHygIAE,Basic,Business License Application,,2022-03-02T17:00:00.000Z,,,,,,,,,,,,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,New,Establishment License,License,2023-11-07T15:01:48.000Z,0f0Hr000000XZtvIAG,,0ehHr000000CdF6IAK,BLA-0000000035,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Phase,false,,,,,,,,,,,,0f0Hr000000XZtvIAG,2023-11-07T15:01:48.000Z,0Z5Hr000000TW6lKAG,Business License Application,2023-11-07T15:01:48.000Z,Salon Establishment Inspection,00000055,,2022-02-02T20:00:00.000Z,,,,,,,,,,,,,,,,,Planned,,,,,,,,,0fJHr000000L1WvMAK,,,,,,,,,,,,,
,,,,,,,001Hr00001s8sz8IAA,,2023-12-18T16:41:35.000Z,,,,,001Hr00001s8sz8IAA,,500Hr00001aqHygIAE,Basic,Business License Application,,2022-03-02T17:00:00.000Z,,,,,,,,,,,,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,New,Establishment License,License,2023-11-07T15:01:48.000Z,0f0Hr000000XZtvIAG,,0ehHr000000CdF6IAK,BLA-0000000035,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Phase,false,,,,,,,,,,,,0f0Hr000000XZtvIAG,2023-12-18T16:40:57.000Z,0Z5Hr000000TXRmKAO,Business License Application,2023-11-07T15:01:48.000Z,Salon Establishment Inspection,00000122,,2023-12-18T20:00:00.000Z,,,,,,,,,,,,,,,,,InProgress,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1WvMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
220000,United States,IL,,true,Mallory Davis,,001Hr00001s8sxCIAQ,,,,true,Mallory Davis,,001Hr00001s8sxCIAQ,,500Hr00001aqHyfIAE,Permit,Business License Application,,2022-04-20T15:52:00.000Z,,,,,,,,,,,,Business,Retail,Underground Petroleum Tank Owner,2gFHr000000XaQuMAK,,New,Establishment License,Permit,2023-11-07T15:01:48.000Z,0f0Hr000000XZuAIAW,,0ehHr000000CdF9IAK,BLA-0000000062,Hour,19pHr000000CeuHIAS,Petroleum Tank Permit,,Permit,,Department of Building Inspection,Inspection Phase,false,,,,,,,,,,,,0f0Hr000000XZuAIAW,2023-11-07T15:01:48.000Z,0Z5Hr000000TW6hKAG,Business License Application,2023-11-07T15:01:48.000Z,Storage Tank Inspection,00000056,2022-04-01T22:00:00.000Z,2022-04-01T19:00:00.000Z,,,,,,,,,,,,,,,,,Planned,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1WwMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
,,,,,,,001Hr00001s8t3oIAA,2022-02-04T13:49:03.000Z,2022-02-04T13:48:13.000Z,,,,,001Hr00001s8t3oIAA,,,,Business License Application,,2021-08-18T19:00:00.000Z,,,,,,,,,,,,,,,,,,,Permit,2023-11-07T15:01:48.000Z,0f0Hr000000XZuEIAW,,0ehHr000000CdF9IAK,BLA-0000000066,Hour,19pHr000000CeuHIAS,Petroleum Tank Permit,,Permit,,Department of Building Inspection,Violations Observed,false,,,,,,,,,,,,0f0Hr000000XZuEIAW,2023-11-07T15:01:48.000Z,0Z5Hr000000TW6mKAG,Business License Application,2023-11-07T15:01:48.000Z,Storage Tank Inspection,00000058,,2022-02-04T20:00:00.000Z,,,,,,,,,,,,,,,,,Completed,,005Hr00000FZuCoIAL,Alan Lands,Alan Lands,00EHr000002oHdyMAE,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB,,0fJHr000000L1WwMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/F,005Hr00000FakdjIAB,005Hr00000FZuCoIAL,Alan Lands,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/T,,Alan Lands,00EHr000002oHdyMAE,Standard,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB
,,,,false,Dr. Ashlee Dyer DVM,,001Hr00001rOTahIAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0fhHr0000004HQ3IAM,2023-11-07T15:01:48.000Z,0Z5Hr000000TW6fKAG,Public Complaint,2023-11-07T15:01:48.000Z,Safety Complaint Inspection,00000029,2022-01-31T18:30:00.000Z,2022-01-31T18:00:00.000Z,,,,,,,,,2023-12-06T16:01:14.000Z,,0fhHr0000004HQ3IAM,2023-12-04,,PC-0000000037,,,Planned,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,Medium,0fJHr000000L1WyMAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
,,,,true,Evania Lulham,,001Hr00001rOnNkIAK,,,,true,Daniela Davis,,001Hr00001s8swHIAQ,,500Hr00001aqHxmIAE,Basic,Individual Application,New,2022-01-05T13:58:42.000Z,,,,,,,,,,,,,,,,,New,,License,2023-11-07T15:01:48.000Z,0iTHr000000MHJdMAO,,0ehHr000000CdF4IAK,IA-0000000037,Hour,19pHr000000CeuFIAS,Emergency PPE Donation,,Emergency Service,,Government of the Future,Submitted,false,,,,,,,,,,,,0iTHr000000MHJdMAO,2023-11-07T15:01:48.000Z,0Z5Hr000000TW6dKAG,Individual Application,2023-11-07T15:01:48.000Z,Emergency Request Visit,00000013,2022-01-13T00:00:00.000Z,2022-01-12T23:30:00.000Z,,,,,,,,,,,,,,,,,Planned,,005Hr00000FZuCoIAL,Alan Lands,Alan Lands,00EHr000002oHdyMAE,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB,Medium,0fJHr000000L1X3MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/F,005Hr00000FakdjIAB,005Hr00000FZuCoIAL,Alan Lands,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015Yt1/T,,Alan Lands,00EHr000002oHdyMAE,Standard,storm.cbf4d65119fd4d@salesforce.com,005Hr00000FakdjIAB
,United States,MD,,true,Charles Green,,001Hr00001s8ssDIAQ,,2023-11-20T14:44:17.000Z,,true,Charles Green,,001Hr00001s8ssDIAQ,,500Hr00001bCGdkIAG,Basic,Individual Application,New,2023-11-17T14:34:54.000Z,,,,,,,,,,,,,,,,,New,,License,2023-11-17T14:34:54.000Z,0iTHr000000MHeMMAW,,0ehHr000000CdF1IAK,IA-0000000387,Hour,19pHr000000CeuLIAS,Food Delivery,,Emergency Service,,Board of Barbering & Cosmetology,Submitted,false,,,,,,,,,,,,0iTHr000000MHeMMAW,2023-11-20T14:38:33.000Z,0Z5Hr000000TWdzKAG,Individual Application,2023-11-07T15:01:48.000Z,Emergency Request Visit,00000121,,2023-11-20T20:00:00.000Z,,,,,,,,,,,,,,,,,InProgress,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1X3MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19T17:02:41.000Z,0Z5Hr000000TXZWKA4,Individual Application,2023-11-07T15:01:48.000Z,Food Safety,00000342,,1996-10-28T15:06:56.000Z,,,,,,,,,,,,,,,,,InProgress,,,Kaylee Kwan,Kaylee Kwan,00EHr000002oHdyMAE,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1,,0fJHr000000L1X1MAK,US,,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/F,005Hr00000FZuDYIA1,,Kaylee Kwan,https://storm-cbf4d65119fd4d.file.force.com/profilephoto/729Hr0000015YtQ/T,,Kaylee Kwan,00EHr000002oHdyMAE,Standard,kkwan.psido.m9ixva3u6ez8@salesforce.com,005Hr00000FZuDYIA1
